Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
UnionBank of the Philippines - Malate,Bank,OPERATIONAL,Manila,NCR,NCR,"Marioco Building, 1945 Adriatico St, Malate, Manila, 1004 Metro Manila, Philippines",14.5694164,120.986442,2,15,ChIJaxktuSrKlzMR_CD5gUBmpLw,https://www.google.com/maps/place/?q=place_id:ChIJaxktuSrKlzMR_CD5gUBmpLw
UnionBank,Bank,OPERATIONAL,Parañaque,NCR,NCR,"MTF Bldg, Kabesang Segundo corner Dr. A. Santos, Parañaque, 1700 Metro Manila, Philippines",14.4712962,121.0078717,1.6,29,ChIJHRzwYWjOlzMRGn-ky9D0wGc,https://www.google.com/maps/place/?q=place_id:ChIJHRzwYWjOlzMRGn-ky9D0wGc
UnionBank of the Philippines - BF Homes,Bank,OPERATIONAL,Parañaque,NCR,NCR,"55 President's Ave, Parañaque, 1719 Metro Manila, Philippines",14.4454107,121.0289894,2.6,14,ChIJJy0GNyzOlzMRwQ4RaBOlWm0,https://www.google.com/maps/place/?q=place_id:ChIJJy0GNyzOlzMRwQ4RaBOlWm0
Unionbank,ATM,OPERATIONAL,Quezon City,NCR,NCR,"677 Aurora Blvd, Quezon City, 1112 Metro Manila, Philippines",14.6130672,121.0329307,1,1,ChIJY1mBUC22lzMRTzXkeQ38J2A,https://www.google.com/maps/place/?q=place_id:ChIJY1mBUC22lzMRTzXkeQ38J2A
Unionbank ATM,ATM,OPERATIONAL,Quezon City,NCR,NCR,"J28Q+MWW, Ground Floor, Marsk Building, Aurora Boulevard corner Balete Drive, Quezon City, Philippines",14.6166753,121.0398574,1,1,ChIJ0_A0u863lzMRTLtEZ8LKHyA,https://www.google.com/maps/place/?q=place_id:ChIJ0_A0u863lzMRTLtEZ8LKHyA
UnionBank ATM - Bataan 2020,ATM,OPERATIONAL,Bataan City,Bataan,Central Luzon,"Roman Superhighway, Samal, Bataan, Philippines",14.767156,120.5002001,5,3,ChIJE3Vq2bZpljMRe8mOwkEHi4E,https://www.google.com/maps/place/?q=place_id:ChIJE3Vq2bZpljMRe8mOwkEHi4E
UnionBank of the Philippines,Bank,OPERATIONAL,Olongapo City,Zambales,Central Luzon,"87 Magsaysay Dr, Olongapo City, 2200 Zambales, Philippines",14.8301718,120.2810187,4.5,8,ChIJ0UCdxRtxljMRXG23xn3jC1E,https://www.google.com/maps/place/?q=place_id:ChIJ0UCdxRtxljMRXG23xn3jC1E
UnionBank of the Philippines - Subic,Bank,OPERATIONAL,Olongapo City,Zambales,Central Luzon,"Manila Avenue Subic Bay Freeport Zone,Cor Dewey Ave, Canal Rd, Olongapo City, 2200, Philippines",14.823035,120.276769,3.1,9,ChIJmXutuhNxljMRrhvlpEkZOvg,https://www.google.com/maps/place/?q=place_id:ChIJmXutuhNxljMRrhvlpEkZOvg
UnionBank ATM - Subic Port Grain Terminal,ATM,OPERATIONAL,Subic Bay Freeport Zone,Bataan,Central Luzon,"Bldg. 8008 Leyte Wharf Cubi Point, SBMA Subic, 2209, Philippines",14.8000727,120.2680662,,,ChIJj_IrUQJxljMRzwD4kLmMGaw,https://www.google.com/maps/place/?q=place_id:ChIJj_IrUQJxljMRzwD4kLmMGaw
UnionBank ATM - AIA,ATM,OPERATIONAL,Subic Bay Freeport Zone,Zambales,Central Luzon,"Subic Bay Metropolitan Authority, Argonaut Hwy, Olongapo City, Zambales, Philippines",14.8176576,120.2806333,,,ChIJmX1-jvhxljMReBGVjreH7Qk,https://www.google.com/maps/place/?q=place_id:ChIJmX1-jvhxljMReBGVjreH7Qk
UnionBank of the Philippines - Pampanga,Bank,OPERATIONAL,San Fernando,Pampanga,Central Luzon,"Jose Abad Santos Avenue Mel-Vi Bldg, Olongapo, Gapan Road, San Fernando, 2000, Philippines",15.041713,120.6831493,1.4,33,ChIJH5H8eBH3ljMRKF6gWMx5YqQ,https://www.google.com/maps/place/?q=place_id:ChIJH5H8eBH3ljMRKF6gWMx5YqQ
