Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
BDO Shaw Blvd. - Mandala Park,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Units 1 &2, Brgy, Mandala Park, G/F, Bldg. B Shaw Blvd, Mandaluyong City, 1550 Metro Manila, Philippines",14.5890388,121.0412475,3,4,ChIJz4yMFvTJlzMR-hQ80Nt7AQw,https://www.google.com/maps/place/?q=place_id:ChIJz4yMFvTJlzMR-hQ80Nt7AQw
BDO Boni - Dansalan,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Brgy, G/F Exbonytz Inc. Bldg., Boni Ave cor, formerly Dansalan St, Mandaluyong City, 1550 Metro Manila, Philippines",14.5740895,121.0439317,2.8,30,ChIJyxX6a0_IlzMRhGCu5rLiX8Y,https://www.google.com/maps/place/?q=place_id:ChIJyxX6a0_IlzMRhGCu5rLiX8Y
BDO Pioneer Highlands - Madison Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Unit 01 (facing Madison St) LG/F Globe Telecom Plaza 1 Bldg Pioneer St, corner Madison, St, Mandaluyong City, Metro Manila, Philippines",14.5717907,121.0501285,1.9,7,ChIJjXKi6XDJlzMRtJTNsv4lmkQ,https://www.google.com/maps/place/?q=place_id:ChIJjXKi6XDJlzMRtJTNsv4lmkQ
BDO Mandaluyong - Rockwell Sheridan Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Brgy, Retail 10, G/F The Rockwell Business Center - Sheridan Sheridan St, corner United St, Mandaluyong City, Metro Manila, Philippines",14.5766142,121.0553062,3.6,7,ChIJ_6vIckvJlzMRozxG24i0Teo,https://www.google.com/maps/place/?q=place_id:ChIJ_6vIckvJlzMRozxG24i0Teo
BDO EDSA - POEA,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Brgy, G/F Blas F. Ople Building Ortigas Avenue, Corner EDSA, Mandaluyong City, 1550 Metro Manila, Philippines",14.5930171,121.0578168,3.5,11,ChIJfda7vxjIlzMRxuOe7U026dY,https://www.google.com/maps/place/?q=place_id:ChIJfda7vxjIlzMRxuOe7U026dY
BDO UN Avenue Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"Zone 72, District 5, G/F, Puso Ng Maynila Bldg., 507 UN Avenue, corner A. Mabini St, Ermita, Manila, Philippines",14.5827816,120.9853958,2.3,3,ChIJI53q23TLlzMR7HDC9bWZw9Q,https://www.google.com/maps/place/?q=place_id:ChIJI53q23TLlzMR7HDC9bWZw9Q
BDO SM City Manila Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"LG/F SM City Manila Concepcion corner Arroceros and, San Marcelino St, Streets, Manila, Metro Manila, Philippines",14.5900874,120.9822704,3.4,25,ChIJG5FjWx_KlzMRNIHPOnv_zSs,https://www.google.com/maps/place/?q=place_id:ChIJG5FjWx_KlzMRNIHPOnv_zSs
BDO City of Dreams Manila Branch,Bank,OPERATIONAL,Parañaque,NCR,NCR,"2nd Level, City of Dreams Manila, Aseana, corner Roxas Blvd, Parañaque, Metro Manila, Philippines",14.5238475,120.9913933,5,4,ChIJY1XjO8vPlzMRR5mpfKs5OjY,https://www.google.com/maps/place/?q=place_id:ChIJY1XjO8vPlzMRR5mpfKs5OjY
BDO - UN Avenue J. Bocobo Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines",14.5804817,120.9812299,3,30,ChIJyWBiwiXKlzMRlbvUjMPy6J0,https://www.google.com/maps/place/?q=place_id:ChIJyWBiwiXKlzMRlbvUjMPy6J0
BDO Taft - Pedro Gil Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"1430 Taft Ave, Ermita, Manila, 1007 Metro Manila, Philippines",14.5781804,120.9873573,4,11,ChIJOfnTAijKlzMRtnKvOH9Zy_I,https://www.google.com/maps/place/?q=place_id:ChIJOfnTAijKlzMRtnKvOH9Zy_I
BDO Manila - Otis Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"1763 Paz Mendoza Guazon Street, Paco, Manila, 1007 Kalakhang Maynila, Philippines",14.5898203,120.9973561,1.7,6,ChIJfbijeezJlzMRyVAIYyH_b40,https://www.google.com/maps/place/?q=place_id:ChIJfbijeezJlzMRyVAIYyH_b40
BDO Paco Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"1054-1060 Pedro Gil St, Paco, Manila, 1004 Metro Manila, Philippines",14.577458,120.9916437,2.6,10,ChIJB3J_HpHJlzMR-0JRbkv4Yrc,https://www.google.com/maps/place/?q=place_id:ChIJB3J_HpHJlzMR-0JRbkv4Yrc
BDO Rizal Avenue - Cavite St.,Bank,OPERATIONAL,Manila,NCR,NCR,"2502-2504 Rizal Avenue, corner Cavite St, Santa Cruz, Manila, 1014 Metro Manila, Philippines",14.6243866,120.9830853,3.8,13,ChIJKcSwluO1lzMRRH4pTNcFT7I,https://www.google.com/maps/place/?q=place_id:ChIJKcSwluO1lzMRRH4pTNcFT7I
BDO Tutuban Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"Tutuban Center, DS 17-18 Tutuban Primeblock, Recto Ave, Manila, 1013 Metro Manila, Philippines",14.6062746,120.9728587,1.9,15,ChIJBezOLAnKlzMRaT6CzYh05Co,https://www.google.com/maps/place/?q=place_id:ChIJBezOLAnKlzMRaT6CzYh05Co
